global step=144704, episodic return=500.0
global step=145140, episodic return=500.0
global step=145424, episodic return=500.0
global step=146392, episodic return=500.0
global step=146704, episodic return=500.0
global step=147140, episodic return=500.0
global step=147424, episodic return=500.0
global step=148392, episodic return=500.0
global step=148704, episodic return=500.0
global step=149140, episodic return=500.0
global step=149424, episodic return=500.0
global step=150392, episodic return=500.0
global step=150704, episodic return=500.0
global step=151140, episodic return=500.0
global step=151424, episodic return=500.0
global step=152392, episodic return=500.0
global step=152704, episodic return=500.0
global step=153140, episodic return=500.0
global step=153424, episodic return=500.0
global step=154392, episodic return=500.0
global step=154704, episodic return=500.0
global step=155140, episodic return=500.0
global step=155424, episodic return=500.0
global step=156392, episodic return=500.0
global step=156704, episodic return=500.0
global step=157140, episodic return=500.0
global step=157424, episodic return=500.0
global step=158392, episodic return=500.0
global step=158704, episodic return=500.0
global step=159140, episodic return=500.0
global step=159424, episodic return=500.0
global step=160392, episodic return=500.0
global step=160704, episodic return=500.0
global step=161140, episodic return=500.0
global step=161424, episodic return=500.0
global step=162392, episodic return=500.0
global step=162704, episodic return=500.0
global step=163140, episodic return=500.0
global step=163424, episodic return=500.0
global step=164392, episodic return=500.0
global step=164704, episodic return=500.0
global step=165140, episodic return=500.0
global step=165424, episodic return=500.0
global step=166392, episodic return=500.0
global step=166704, episodic return=500.0
global step=167140, episodic return=500.0
global step=167424, episodic return=500.0
global step=168392, episodic return=500.0
global step=168704, episodic return=500.0
global step=169140, episodic return=500.0
global step=169424, episodic return=500.0
global step=170392, episodic return=500.0
global step=170704, episodic return=500.0
global step=171140, episodic return=500.0
global step=171424, episodic return=500.0
global step=172392, episodic return=500.0
global step=172704, episodic return=500.0
global step=173140, episodic return=500.0
global step=173424, episodic return=500.0
global step=174392, episodic return=500.0
global step=174704, episodic return=500.0
global step=175140, episodic return=500.0
global step=175424, episodic return=500.0
global step=176392, episodic return=500.0
global step=176704, episodic return=500.0
global step=177140, episodic return=500.0
global step=177424, episodic return=500.0
global step=178392, episodic return=500.0
global step=178704, episodic return=500.0
global step=179140, episodic return=500.0
global step=179424, episodic return=500.0
global step=180392, episodic return=500.0
global step=180704, episodic return=500.0
global step=181140, episodic return=500.0
global step=181424, episodic return=500.0
global step=182392, episodic return=500.0
global step=182704, episodic return=500.0
global step=183140, episodic return=500.0
global step=183424, episodic return=500.0
global step=184392, episodic return=500.0
global step=184704, episodic return=500.0
global step=185140, episodic return=500.0
global step=185424, episodic return=500.0
global step=186392, episodic return=500.0
global step=186704, episodic return=500.0
global step=187140, episodic return=500.0
global step=187424, episodic return=500.0
global step=188392, episodic return=500.0
global step=188704, episodic return=500.0
global step=189140, episodic return=500.0
global step=189424, episodic return=500.0
global step=190392, episodic return=500.0
global step=190704, episodic return=500.0
global step=191140, episodic return=500.0
global step=191424, episodic return=500.0
global step=192392, episodic return=500.0
global step=192704, episodic return=500.0
global step=193140, episodic return=500.0
global step=193424, episodic return=500.0
global step=194392, episodic return=500.0
global step=194704, episodic return=500.0
global step=195140, episodic return=500.0
global step=195424, episodic return=500.0
global step=196392, episodic return=500.0
global step=196704, episodic return=500.0
global step=197140, episodic return=500.0
global step=197424, episodic return=500.0
global step=198392, episodic return=500.0
global step=198704, episodic return=500.0
global step=199140, episodic return=500.0
global step=199424, episodic return=500.0
global step=200392, episodic return=500.0
global step=200704, episodic return=500.0
global step=201140, episodic return=500.0
global step=201424, episodic return=500.0
global step=202392, episodic return=500.0
global step=202704, episodic return=500.0
global step=203140, episodic return=500.0
global step=203424, episodic return=500.0
global step=204392, episodic return=500.0
global step=204704, episodic return=500.0
global step=205140, episodic return=500.0
global step=205424, episodic return=500.0
global step=206392, episodic return=500.0
global step=206704, episodic return=500.0
global step=207140, episodic return=500.0
global step=207424, episodic return=500.0
global step=208392, episodic return=500.0
global step=208704, episodic return=500.0
global step=209140, episodic return=500.0
global step=209424, episodic return=500.0
global step=210392, episodic return=500.0
global step=210704, episodic return=500.0
global step=211140, episodic return=500.0
global step=211424, episodic return=500.0
global step=212392, episodic return=500.0
global step=212704, episodic return=500.0
global step=213140, episodic return=500.0
global step=213424, episodic return=500.0
global step=214392, episodic return=500.0
global step=214704, episodic return=500.0
global step=215140, episodic return=500.0
global step=215424, episodic return=500.0
global step=216392, episodic return=500.0
global step=216704, episodic return=500.0
global step=217140, episodic return=500.0
global step=217424, episodic return=500.0
global step=218392, episodic return=500.0
global step=218704, episodic return=500.0
global step=219140, episodic return=500.0
global step=219424, episodic return=500.0
global step=220392, episodic return=500.0
global step=220704, episodic return=500.0
global step=221140, episodic return=500.0
global step=221424, episodic return=500.0
global step=222392, episodic return=500.0
global step=222704, episodic return=500.0
global step=223140, episodic return=500.0
global step=223424, episodic return=500.0
global step=224392, episodic return=500.0
global step=224704, episodic return=500.0
global step=225140, episodic return=500.0
global step=225424, episodic return=500.0
global step=226392, episodic return=500.0
global step=226704, episodic return=500.0
global step=227140, episodic return=500.0
global step=227424, episodic return=500.0
global step=228392, episodic return=500.0
global step=228704, episodic return=500.0
global step=229140, episodic return=500.0
global step=229424, episodic return=500.0
global step=230392, episodic return=500.0
global step=230704, episodic return=500.0
global step=231140, episodic return=500.0
global step=231424, episodic return=500.0
global step=232392, episodic return=500.0
global step=232704, episodic return=500.0
global step=233140, episodic return=500.0
global step=233424, episodic return=500.0
global step=234392, episodic return=500.0
global step=234704, episodic return=500.0
global step=235140, episodic return=500.0
global step=235424, episodic return=500.0
global step=236392, episodic return=500.0
global step=236704, episodic return=500.0
global step=237140, episodic return=500.0
global step=237424, episodic return=500.0
global step=238392, episodic return=500.0
global step=238704, episodic return=500.0
global step=239140, episodic return=500.0
global step=239424, episodic return=500.0
global step=240392, episodic return=500.0
global step=240704, episodic return=500.0
global step=241140, episodic return=500.0
global step=241424, episodic return=500.0
global step=242392, episodic return=500.0
global step=242704, episodic return=500.0
global step=243140, episodic return=500.0
global step=243424, episodic return=500.0
global step=244392, episodic return=500.0
global step=244704, episodic return=500.0
global step=245140, episodic return=500.0
global step=245424, episodic return=500.0
global step=246392, episodic return=500.0
global step=246704, episodic return=500.0
global step=247140, episodic return=500.0
global step=247424, episodic return=500.0
global step=248392, episodic return=500.0
global step=248704, episodic return=500.0
global step=249140, episodic return=500.0
global step=249424, episodic return=500.0
global step=250392, episodic return=500.0
global step=250704, episodic return=500.0
global step=250800, episodic return=415.0
global step=251252, episodic return=457.0
global step=252392, episodic return=500.0
global step=252704, episodic return=500.0
global step=252800, episodic return=500.0
global step=253252, episodic return=500.0
global step=254392, episodic return=500.0
global step=254704, episodic return=500.0
global step=254800, episodic return=500.0
global step=255252, episodic return=500.0
global step=256392, episodic return=500.0
global step=256704, episodic return=500.0
global step=256800, episodic return=500.0
global step=257252, episodic return=500.0
global step=258392, episodic return=500.0
global step=258704, episodic return=500.0
global step=258800, episodic return=500.0
global step=259252, episodic return=500.0
global step=260392, episodic return=500.0
global step=260704, episodic return=500.0
global step=260800, episodic return=500.0
global step=261252, episodic return=500.0
global step=262392, episodic return=500.0
global step=262704, episodic return=500.0
global step=262800, episodic return=500.0
global step=263252, episodic return=500.0
global step=264392, episodic return=500.0
global step=264704, episodic return=500.0
global step=264800, episodic return=500.0
global step=265252, episodic return=500.0
global step=266392, episodic return=500.0
global step=266704, episodic return=500.0
global step=266800, episodic return=500.0
global step=267252, episodic return=500.0
global step=268392, episodic return=500.0
global step=268704, episodic return=500.0
global step=268800, episodic return=500.0
global step=269252, episodic return=500.0
global step=270392, episodic return=500.0
global step=270704, episodic return=500.0
global step=270800, episodic return=500.0
global step=271252, episodic return=500.0
global step=272392, episodic return=500.0
global step=272704, episodic return=500.0
global step=272800, episodic return=500.0
global step=273252, episodic return=500.0
global step=274168, episodic return=366.0
global step=274392, episodic return=500.0
global step=274800, episodic return=500.0
global step=275252, episodic return=500.0
global step=276168, episodic return=500.0
global step=276392, episodic return=500.0
global step=276800, episodic return=500.0
global step=277252, episodic return=500.0
global step=278168, episodic return=500.0
global step=278392, episodic return=500.0
global step=278800, episodic return=500.0
global step=279252, episodic return=500.0
global step=280168, episodic return=500.0
global step=280392, episodic return=500.0
global step=280800, episodic return=500.0
global step=281252, episodic return=500.0
global step=282168, episodic return=500.0
global step=282392, episodic return=500.0
global step=282800, episodic return=500.0
global step=283252, episodic return=500.0
global step=284168, episodic return=500.0
global step=284392, episodic return=500.0
global step=284800, episodic return=500.0
global step=285252, episodic return=500.0
global step=286168, episodic return=500.0
global step=286392, episodic return=500.0
global step=286800, episodic return=500.0
global step=287252, episodic return=500.0
global step=288168, episodic return=500.0
global step=288392, episodic return=500.0
global step=288800, episodic return=500.0
global step=289252, episodic return=500.0
global step=290168, episodic return=500.0
global step=290392, episodic return=500.0
global step=290800, episodic return=500.0
global step=291252, episodic return=500.0
global step=292168, episodic return=500.0
global step=292392, episodic return=500.0
global step=292800, episodic return=500.0
global step=293252, episodic return=500.0
global step=294168, episodic return=500.0
global step=294392, episodic return=500.0
global step=294800, episodic return=500.0
global step=295252, episodic return=500.0
global step=296168, episodic return=500.0
global step=296392, episodic return=500.0
global step=296800, episodic return=500.0
global step=297252, episodic return=500.0
global step=298168, episodic return=500.0
global step=298392, episodic return=500.0
global step=298800, episodic return=500.0
global step=299252, episodic return=500.0
global step=300168, episodic return=500.0
global step=300392, episodic return=500.0
global step=300800, episodic return=500.0
global step=301252, episodic return=500.0
global step=302168, episodic return=500.0
global step=302392, episodic return=500.0
global step=302800, episodic return=500.0
global step=303252, episodic return=500.0
global step=304168, episodic return=500.0
global step=304392, episodic return=500.0
global step=304800, episodic return=500.0
global step=305252, episodic return=500.0
global step=306168, episodic return=500.0
global step=306392, episodic return=500.0
global step=306800, episodic return=500.0
global step=307252, episodic return=500.0
global step=308168, episodic return=500.0
global step=308392, episodic return=500.0
global step=308800, episodic return=500.0
global step=309252, episodic return=500.0
global step=310168, episodic return=500.0
global step=310392, episodic return=500.0
global step=310800, episodic return=500.0
global step=311252, episodic return=500.0
global step=312168, episodic return=500.0
global step=312392, episodic return=500.0
global step=312800, episodic return=500.0
global step=313252, episodic return=500.0
global step=314168, episodic return=500.0
global step=314392, episodic return=500.0
global step=314800, episodic return=500.0
global step=315252, episodic return=500.0
global step=316168, episodic return=500.0
global step=316392, episodic return=500.0
global step=316800, episodic return=500.0
global step=317252, episodic return=500.0
global step=318168, episodic return=500.0
global step=318392, episodic return=500.0
global step=318800, episodic return=500.0
global step=319252, episodic return=500.0
global step=320168, episodic return=500.0
global step=320392, episodic return=500.0
global step=320800, episodic return=500.0
global step=321252, episodic return=500.0
global step=322168, episodic return=500.0
global step=322392, episodic return=500.0
global step=322800, episodic return=500.0
global step=323252, episodic return=500.0
global step=324168, episodic return=500.0
global step=324392, episodic return=500.0
global step=324800, episodic return=500.0
global step=325252, episodic return=500.0
global step=326168, episodic return=500.0
global step=326392, episodic return=500.0
global step=326800, episodic return=500.0
global step=327252, episodic return=500.0
global step=328168, episodic return=500.0
global step=328392, episodic return=500.0
global step=328800, episodic return=500.0
global step=329252, episodic return=500.0
global step=330168, episodic return=500.0
global step=330392, episodic return=500.0
global step=330800, episodic return=500.0
global step=331252, episodic return=500.0
global step=332168, episodic return=500.0
global step=332392, episodic return=500.0
global step=332800, episodic return=500.0
global step=333252, episodic return=500.0
global step=334168, episodic return=500.0
global step=334392, episodic return=500.0
global step=334800, episodic return=500.0
global step=335252, episodic return=500.0
global step=336168, episodic return=500.0
global step=336392, episodic return=500.0
global step=336800, episodic return=500.0
global step=337252, episodic return=500.0
global step=338168, episodic return=500.0
global step=338392, episodic return=500.0
global step=338800, episodic return=500.0
global step=339252, episodic return=500.0
global step=340168, episodic return=500.0
global step=340392, episodic return=500.0
global step=340800, episodic return=500.0
global step=341252, episodic return=500.0
global step=342168, episodic return=500.0
global step=342392, episodic return=500.0
global step=342800, episodic return=500.0
global step=343252, episodic return=500.0
global step=344168, episodic return=500.0
global step=344392, episodic return=500.0
global step=344800, episodic return=500.0
global step=345252, episodic return=500.0
