global step=106118, episodic return=661.8197021484375
global step=106511, episodic return=578.5877075195312
global step=106669, episodic return=185.03761291503906
global step=107134, episodic return=708.8826904296875
global step=107544, episodic return=483.4201965332031
global step=108544, episodic return=1231.005859375
global step=108907, episodic return=577.9067993164062
global step=109462, episodic return=818.7737426757812
global step=109893, episodic return=555.6864624023438
global step=110631, episodic return=1041.6689453125
global step=111012, episodic return=574.4022216796875
global step=111478, episodic return=719.5159301757812
global step=112055, episodic return=859.393798828125
global step=112383, episodic return=440.0478820800781
global step=112764, episodic return=593.4138793945312
global step=113093, episodic return=512.7681884765625
global step=113579, episodic return=749.3838500976562
global step=114052, episodic return=722.89306640625
global step=114523, episodic return=739.4207153320312
global step=115024, episodic return=768.8270874023438
global step=115449, episodic return=669.9385375976562
global step=116449, episodic return=1176.57470703125
global step=117449, episodic return=1375.5423583984375
global step=117793, episodic return=547.9725952148438
global step=118314, episodic return=828.6437377929688
global step=118728, episodic return=645.4380493164062
global step=119231, episodic return=796.4197387695312
global step=120231, episodic return=1190.4912109375
global step=120645, episodic return=646.2744140625
global step=121224, episodic return=961.4866943359375
global step=121645, episodic return=667.5325317382812
global step=122180, episodic return=852.4940795898438
global step=122718, episodic return=798.2033081054688
global step=123110, episodic return=605.0572509765625
global step=123469, episodic return=569.93212890625
global step=123811, episodic return=524.5665283203125
global step=124186, episodic return=589.3636474609375
global step=124570, episodic return=617.6737670898438
global step=125100, episodic return=835.27734375
global step=125420, episodic return=493.8674621582031
global step=125750, episodic return=495.5099182128906
global step=126205, episodic return=770.6906127929688
global step=126667, episodic return=740.6456298828125
global step=127062, episodic return=634.9483642578125
global step=127487, episodic return=695.3977661132812
global step=128104, episodic return=1010.949951171875
global step=128628, episodic return=804.5828857421875
global step=129002, episodic return=604.8624267578125
global step=129660, episodic return=1097.471435546875
global step=130086, episodic return=702.6261596679688
global step=130669, episodic return=941.8956909179688
global step=131274, episodic return=979.955810546875
global step=131975, episodic return=1115.4722900390625
global step=132605, episodic return=1050.7152099609375
global step=133126, episodic return=896.6397094726562
global step=134067, episodic return=1577.7645263671875
global step=134768, episodic return=1174.1566162109375
global step=135768, episodic return=1387.4332275390625
global step=136341, episodic return=951.3402099609375
global step=137140, episodic return=1298.916748046875
global step=137853, episodic return=1191.634765625
global step=138728, episodic return=1221.7364501953125
global step=139427, episodic return=897.4503784179688
global step=139668, episodic return=361.3529357910156
global step=140668, episodic return=1417.66357421875
global step=141175, episodic return=725.8770141601562
global step=142175, episodic return=1348.4190673828125
global step=143175, episodic return=1168.108154296875
global step=144175, episodic return=1326.9437255859375
global step=144570, episodic return=538.3614501953125
global step=145014, episodic return=745.5783081054688
global step=145547, episodic return=858.787109375
global step=146547, episodic return=1230.761962890625
global step=147029, episodic return=798.080810546875
global step=147456, episodic return=709.860595703125
global step=148111, episodic return=1067.2279052734375
global step=149111, episodic return=1335.4139404296875
global step=150111, episodic return=1241.3455810546875
global step=150526, episodic return=688.0059814453125
global step=151526, episodic return=1381.59130859375
global step=152081, episodic return=894.748291015625
global step=152639, episodic return=967.5759887695312
global step=152969, episodic return=490.500732421875
global step=153412, episodic return=736.0110473632812
global step=154130, episodic return=1160.6695556640625
global step=154737, episodic return=1040.2938232421875
global step=155737, episodic return=1544.33935546875
global step=156737, episodic return=1375.9010009765625
global step=157737, episodic return=1758.734375
global step=158078, episodic return=526.50634765625
global step=158790, episodic return=1247.70068359375
global step=159790, episodic return=1393.6182861328125
global step=160790, episodic return=1416.5037841796875
global step=161751, episodic return=1582.927001953125
global step=162322, episodic return=937.1256103515625
global step=162817, episodic return=775.8041381835938
global step=163375, episodic return=1006.1100463867188
global step=163954, episodic return=984.7576293945312
global step=164782, episodic return=1465.9276123046875
global step=165782, episodic return=1345.9788818359375
global step=166782, episodic return=1544.886962890625
global step=167782, episodic return=1439.986572265625
global step=168645, episodic return=1463.7705078125
global step=169105, episodic return=736.7933959960938
global step=170105, episodic return=1450.3271484375
global step=170672, episodic return=938.8168334960938
global step=171194, episodic return=926.46044921875
global step=171680, episodic return=806.7030029296875
global step=171917, episodic return=378.8889465332031
